bottle.stl
Opening bottle.stl.
9.924500 58.820236 6.045033 
9.202600 59.068237 4.535400 
9.086867 59.004833 5.564200 
8.250134 59.422466 4.111367 
8.126667 59.276997 5.030667 
7.659634 60.105301 3.861033 
7.417867 59.836597 4.649267 
7.439567 61.017933 3.772900 
7.106934 60.695965 4.486267 
7.350234 61.914032 3.730467 
7.012833 61.626934 4.432500 
6.286966 62.590500 3.130667 
6.482867 62.395733 4.034500 
3.725700 62.856766 2.118700 
6.363667 5.617400 6.330300 
9.583167 5.918033 8.655167 
8.954066 5.172033 9.721200 
7.479366 8.638467 6.595900 
7.751133 7.651200 8.250134 
6.078001 11.207433 5.112800 
5.730033 10.416500 5.975300 
7.605600 15.222168 5.201667 
6.176367 13.610200 5.518967 
12.321099 23.289232 6.408534 
9.599867 20.061632 6.492667 
18.097132 34.390934 7.919667 
15.039033 30.453798 8.144500 
20.964800 44.652996 8.721233 
19.116034 41.490433 9.404600 
18.707499 51.204834 8.334200 
18.719067 49.510132 9.444533 
13.584167 54.420368 7.409733 
14.357033 53.659939 8.512533 
9.634601 56.017334 6.958967 
9.828567 55.599072 7.730533 
8.347567 57.025898 7.222967 
7.759267 56.730732 7.766066 
8.613900 57.746933 7.753700 
7.700933 57.533936 8.317866 
8.995633 58.277496 8.071733 
8.150200 58.118633 8.793433 
8.956700 58.651836 8.015733 
8.259167 58.544033 8.875366 
8.458833 58.880871 7.581900 
7.942734 58.820236 8.536533 
7.655167 59.068237 6.907267 
7.275900 59.004833 7.862900 
6.862234 59.422466 6.260133 
6.506367 59.276997 7.107800 
6.367067 60.105301 5.871000 
5.934866 59.836597 6.562500 
6.181100 61.017933 5.731000 
5.682967 60.695965 6.327433 
6.106634 61.914032 5.666167 
5.607400 61.626934 6.251234 
5.238367 62.590500 4.788333 
5.199501 62.395733 5.717934 
3.038300 62.856766 3.092633 
4.460833 5.617400 7.847066 
6.947933 5.918033 10.976467 
6.060367 5.172033 11.818334 
5.459866 8.638467 8.408500 
5.285600 7.651200 10.068734 
4.430333 11.207433 6.496100 
3.888267 10.416500 7.275000 
5.584600 15.222168 6.580000 
4.186500 13.610200 6.694601 
9.172466 23.289232 8.090767 
6.586367 20.061632 7.860800 
13.628966 34.390934 10.004833 
10.483500 30.453798 9.866900 
15.911166 44.652996 11.040034 
13.482066 41.490433 11.415401 
14.248567 51.204834 10.573800 
13.289266 49.510132 11.485901 
10.293599 54.420368 9.406867 
10.173467 53.659939 10.357699 
7.163333 56.017334 8.820900 
6.855333 55.599072 9.394333 
6.079600 57.025898 9.142200 
5.289533 56.730701 9.425366 
6.230733 57.746967 9.813000 
5.197633 57.533936 10.094200 
6.509733 58.277496 10.222434 
5.503200 58.118633 10.677800 
6.488500 58.651836 10.158933 
5.584433 58.544033 10.784233 
6.134666 58.880871 9.616401 
5.377900 58.820236 10.379000 
5.556000 59.068237 8.765233 
4.930867 59.004833 9.563966 
4.979767 59.422466 7.943033 
4.408567 59.276997 8.644733 
4.615533 60.105301 7.443966 
4.016134 59.836597 7.976734 
4.476933 61.017933 7.262367 
3.841600 60.695965 7.687400 
4.422667 61.914032 7.180000 
3.790233 61.626934 7.594667 
3.812500 62.590534 6.090167 
3.534766 62.395802 6.967100 
1.316733 62.928364 1.765733 
2.129800 62.856766 3.833667 
2.216067 5.617400 8.762300 
3.784500 5.918033 12.453700 
2.697967 5.172033 13.011901 
3.025267 8.638467 9.574034 
2.411566 7.651200 11.117100 
2.422533 11.207433 7.379700 
1.733667 10.416500 8.018434 
3.015067 15.222168 7.452500 
1.793033 13.610200 7.358600 
4.977967 23.289232 9.151234 
2.804733 20.061632 8.628234 
7.512200 34.390934 11.321067 
4.592700 30.453798 10.835334 
8.916266 44.652996 12.510067 
6.091700 41.490433 12.553567 
8.101533 51.204834 12.000201 
6.157500 49.510132 12.648999 
5.879900 54.420368 10.680533 
4.767133 53.659939 11.410867 
4.023366 56.017334 10.004566 
3.167933 55.599072 10.339867 
3.324300 57.025898 10.358601 
2.365933 56.730732 10.364333 
3.371767 57.746933 11.117900 
2.288367 57.533936 11.099068 
3.528733 58.277496 11.587234 
2.430300 58.118633 11.745999 
3.526900 58.651836 11.521000 
2.477600 58.544033 11.868533 
3.344167 58.880871 10.911433 
2.397100 58.820236 11.428033 
3.034567 59.068237 9.949100 
2.204600 59.004833 10.533767 
2.718766 59.422466 9.015133 
1.969867 59.276997 9.520634 
2.513100 60.105301 8.444500 
1.786767 59.836597 8.781167 
2.432367 61.017933 8.235367 
1.703067 60.695965 8.459634 
2.402400 61.914032 8.141767 
1.679733 61.626934 8.357400 
2.097100 62.590534 6.923500 
1.597000 62.395733 7.683434 
1.058000 62.856800 4.280800 
-0.203667 5.617400 9.032001 
0.321767 5.918033 13.003433 
-0.876933 5.172033 13.256301 
0.350900 8.638467 10.024867 
-0.652467 7.651200 11.352933 
